im_id,title,releasedYear,Genre,Director,Writter,actors,imdb_votes,imdb_rating,keywords,PolarityConfidence,Tbl_ID
tt0028950,La Grande Illusion,1937,"Drama, War",Jean Renoir,"Charles Spaak (scenario and dialogue), Jean Renoir (scenario and dialogue)","Jean Gabin, Dita Parlo, Pierre Fresnay, Erich von Stroheim","29,324",8.1," french officer, captured captain, aristocrat lieutenant marechal, mechanic civilian life, meet prisoner various background, rosenthal son, jewish banker, rosenthal managing, escape month, fortress commanded, aristocrat van rauffenstein, boeldieu strike, friendship marechal rosenthal, want escape",49.0909,33
tt0029146,The Life of Emile Zola,1937,"Biography, Drama",William Dieterle,"Norman Reilly Raine (screen play), Heinz Herald (screen play), Geza Herczeg (screen play), Heinz Herald (story), Geza Herczeg (story), Matthew Josephson (source material ""Zola and His Time"")","Paul Muni, Gale Sondergaard, Joseph Schildkraut, Gloria Holden","5,732",7.3," fictionalized account, life famed french author, emile zola, portrayed film, penniless writer, paris painter paul cezanne, wrote bestseller, difficulty holding, outspoken warned, several occasion, public prosecutor risk charge, writing bulk, film deal involvement, case captain, military information german sentenced, life imprisonment devil, island antisemitism, important role reallife case, mentioned film, military found, definitive evidence dreyfus, innocent army, face scandal, wrong man zola, famous letter jaccuse accuse led, trial libel, forced flee england dreyfus, military rank",70,34
tt0029811,The Girl Was Young,1937,"Crime, Mystery, Romance",Alfred Hitchcock,"Josephine Tey (novel), Charles Bennett (screen play), Edwin Greenwood (screen play), Anthony Armstrong (screen play), Gerald Savory (dialogue)","Nova Pilbeam, Derrick De Marney, Percy Marmont, Edward Rigby","7,210",7," film actress, estranged husband, young boyfriend, next day writer robert, tisdall happens boyfriend discovers, beach run, call police, witness think, escaping murderer, robert arrested, owing mix, courthouse escape, police constable daughter, erica determined prove innocence",100,35
tt0029843,The Adventures of Robin Hood,1938,"Action, Adventure, Romance","Michael Curtiz, William Keighley","Norman Reilly Raine (original screenplay: based upon ancient Robin Hood legends), Seton I. Miller (original screenplay: based upon ancient Robin Hood legends)","Errol Flynn, Olivia de Havilland, Basil Rathbone, Claude Rains","41,820",8," sir robin locksley, defender downtrodden saxon, afoul norman authority, forced turn, outlaw band, merry men robs, rich give, time woo, marian foil cruel sir, guy gisbourne, nefarious prince john",100,36
tt0029947,Bringing Up Baby,1938,"Comedy, Family, Romance",Howard Hawks,"Dudley Nichols (screen play), Hagar Wilde (screen play), Hagar Wilde (from the story by)","Katharine Hepburn, Cary Grant, Charles Ruggles, Walter Catlett","48,590",8," mild mannered, zoology professor dr, david huxley, excited news, intercostal clavicle bone found, complete brontosaurus skeleton project, year construction, imminent marriage assistant, officious alice swallow, interested work person, david need, endowment wealthy dowager, mr carleton random, complete project lawyer alexander, make decision, david need, david try, good impression peabody, young woman, seems something make, look bad flighty, heiress susan vance, david want susan, susan seems, able david, learns alexander, peabody good friend, call boopy, aunt elizabeth david, bad impression, mr carleton random, getting aunt, boopys good grace, susan smoothing, water throw mix, tame pet leopard, named baby susans, brother mark, brazil aunt, elizabeth big game, hunting friend, major horace applegate aunt elizabeth, pet terrier george, penchant burying, bone thing, traveling circus passing, town david, finish project, make wedding, come realization, something important life",91.4286,37
tt0030341,The Lady Vanishes,1938,"Mystery, Thriller",Alfred Hitchcock,"Ethel Lina White (based upon the story: ""The Wheel Spins"" by), Sidney Gilliat (screen play), Frank Launder (screen play)","Margaret Lockwood, Michael Redgrave, Paul Lukas, May Whitty","39,425",7.9," passenger scheduled, european country, delayed day, due avalanche, personal necessity, inn area train departs, person uncertain train, middle aged english governess, miss froy iris henderson vacationing, mandrika girlfriend, england get, miss froy train compartment, dining car, corroborate story, dont seem, iris thought, possible concussion iris hit, boarding train, take anyones help, miss froy, gilbert musicologist, so pleasant encounter, inn evening, iris gilbert, train believe, many passenger validity miss, froy conspiracy iris, miss froy, find anyone want, kidnap middle, english governess",100,38
tt0030993,You Can't Take It with You,1938,"Comedy, Drama, Romance",Frank Capra,"Robert Riskin (screen play), George S. Kaufman (based upon the play by), Moss Hart (based upon the play by)","Jean Arthur, Lionel Barrymore, James Stewart, Edward Arnold","19,822",8," stenographer alice, sycamore love bos, vicepresident powerful company, owned greedy, father anthony, kirby sr, monopoly trade weapon need, last house, twelve block, area owned, alices grandparent martin, however martin patriarch, eccentric family member, care money, fun making friend, tony proposes, alice state, mandatory introduce, lunatic family, snobbish kirbys tone decides, visit alice parent, day scheduled inevitable, clash class lifestyle kirbys, spurn sycamore alice, break tony, changing life, kirby family",64,39
tt0031381,Gone with the Wind,1939,"Drama, History, Romance","Victor Fleming, George Cukor, Sam Wood","Margaret Mitchell (story of the old south ""Gone with the Wind""), Sidney Howard (screenplay)","Thomas Mitchell, Barbara O'Neil, Vivien Leigh, Evelyn Keyes","245,075",8.2," scarlett woman, deal nation, burning union, everything beloved tara carpetbagger, arrive war scarlett, beautiful vitality ashley man wanted, going marry, placid cousin melanie, mammy warns, scarlett behave, party twelve, new man day day, civil war, rhett butler scarlett, know room, pleads ashley choose",96.6667,40
tt0031505,Jamaica Inn,1939,"Adventure, Crime",Alfred Hitchcock,"Sidney Gilliat (screen play), Joan Harrison (screen play), Sidney Gilliat (dialogue), Alma Reville (continuity), J.B. Priestley (additional dialogue)","Charles Laughton, Horace Hodges, Maureen O'Hara, Hay Petrie","7,260",6.3," set cornwall, mary sent, live aunt patience uncle, joss landlord jamaica, inn mary, inn base gang ship, wrecker lure ship, doom rocky coast, girl start, fearing life",-35,41
tt0031679,Mr. Smith Goes to Washington,1939,"Comedy, Drama",Frank Capra,"Sidney Buchman (screen play), Lewis R. Foster (story)","Jean Arthur, James Stewart, Claude Rains, Edward Arnold","88,134",8.2," idealistic jefferson, smith leader boy ranger appointed, lark spineless governor, state reunited, state senior, hopeful childhood hero senator, joseph paine, however smith discovers, many shortcoming, political process, earnest goal, national boy, lead conflict state, political bos jim taylor, try corrupt, attempt destroy, smith scandal",100,42
tt0031725,Ninotchka,1939,"Comedy, Romance",Ernst Lubitsch,"Charles Brackett (screen play), Billy Wilder (screen play), Walter Reisch (screen play), Melchior Lengyel (based on the original story by)","Greta Garbo, Melvyn Douglas, Ina Claire, Bela Lugosi","16,000",8," royal suite, grandest hotel paris, jewel grand duchess, russian come, sell jewel, higher ranking, dispatched find, delaying sale, nonsense woman, fascinates count, leon faithful retainer, grand duchess, grand duchess, claim jewel ninotchka",100,43
tt0031762,Only Angels Have Wings,1939,"Adventure, Drama, Romance",Howard Hawks,Jules Furthman (screen play),"Cary Grant, Jean Arthur, Richard Barthelmess, Rita Hayworth","9,967",7.7," ship san, luis make stop port, barranca deliver mailbag, load banana, cabaret singer bonnie lee leaf, hour look, meet gang, american flyer work warmhearted, dutchman owner, scrubby hotel, also shaky barranca, tough flyer geoff carter, way fly, pas foot ground, foggy flight, several flyer, lost life, bonnie fall, love geoff reminds, father trapeze artist, safety net decides, stay hotel geoff scared, detained woman, want continue, risky lifestyle, uninterrupted situation, new flyer bat macpherson turn, wife judy, caused death, young flyer, malfunctioning airplane, parachute judy geoffs, tried stop making, risky flight",100,44
